modality,model,model_name,task,target,seed,threshold,accuracy,f1,auc,fixed_tpr,fixed_fpr
EDA,VAE-Classifier,VAE-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},111,0.5,0.8348348348348348,0.819672131147541,0.868882395909423,0.8445945945945946,0.17297297297297298
PPG,MLP-Classifier,MLP-Classifier,AROUSAL,\texttt{arousal\_category},42,0.5,0.5165165165165165,0.3970037453183521,0.5453817191380278,0.4649122807017544,0.45662100456621
PPG,MLP-Classifier,MLP-Classifier,AROUSAL,\texttt{arousal\_category},43,0.5,0.5375375375375375,0.4166666666666667,0.5056076263718657,0.4824561403508772,0.4337899543378995
PPG,MLP-Classifier,MLP-Classifier,AROUSAL,\texttt{arousal\_category},111,0.5,0.5375375375375375,0.42105263157894735,0.5515901626211649,0.49122807017543857,0.4383561643835616
PPG,MLP-Classifier,MLP-Classifier,VALENCE,\texttt{valence\_category},42,0.5,0.5585585585585585,0.5994550408719346,0.6083818305494672,0.5445544554455446,0.4198473282442748
PPG,MLP-Classifier,MLP-Classifier,VALENCE,\texttt{valence\_category},43,0.5,0.5525525525525525,0.5962059620596206,0.614995087294989,0.5445544554455446,0.4351145038167939
PPG,MLP-Classifier,MLP-Classifier,VALENCE,\texttt{valence\_category},111,0.5,0.5705705705705706,0.6226912928759895,0.5732370947018366,0.5841584158415841,0.45038167938931295
PPG,MLP-Classifier,MLP-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},42,0.5,0.8018018018018018,0.78,0.8547479912344778,0.7905405405405406,0.1891891891891892
PPG,MLP-Classifier,MLP-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},43,0.5,0.7687687687687688,0.764525993883792,0.8550036523009495,0.8445945945945946,0.2918918918918919
PPG,MLP-Classifier,MLP-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},111,0.5,0.7567567567567568,0.7522935779816514,0.8506208911614317,0.831081081081081,0.3027027027027027
PPG,VAE-Classifier,VAE-Classifier,AROUSAL,\texttt{arousal\_category},42,0.5,0.5435435435435435,0.43283582089552236,0.5353681006168389,0.5087719298245614,0.4383561643835616
PPG,VAE-Classifier,VAE-Classifier,AROUSAL,\texttt{arousal\_category},43,0.5,0.5615615615615616,0.43410852713178294,0.5600817111271329,0.49122807017543857,0.4018264840182648
PPG,VAE-Classifier,VAE-Classifier,AROUSAL,\texttt{arousal\_category},111,0.5,0.5795795795795796,0.43548387096774194,0.5634062324761676,0.47368421052631576,0.365296803652968
PPG,VAE-Classifier,VAE-Classifier,VALENCE,\texttt{valence\_category},42,0.5,0.5465465465465466,0.5817174515235457,0.5614843927140806,0.5198019801980198,0.4122137404580153
PPG,VAE-Classifier,VAE-Classifier,VALENCE,\texttt{valence\_category},43,0.5,0.5765765765765766,0.5959885386819485,0.6054719975814375,0.5148514851485149,0.3282442748091603
PPG,VAE-Classifier,VAE-Classifier,VALENCE,\texttt{valence\_category},111,0.5,0.5765765765765766,0.6005665722379604,0.6195676819590356,0.5247524752475248,0.3435114503816794
PPG,VAE-Classifier,VAE-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},42,0.5,0.7717717717717718,0.7639751552795031,0.8546018991964939,0.831081081081081,0.2756756756756757
PPG,VAE-Classifier,VAE-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},43,0.5,0.7627627627627628,0.7613293051359517,0.8610299488677868,0.8513513513513513,0.3081081081081081
PPG,VAE-Classifier,VAE-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},111,0.5,0.7507507507507507,0.7537091988130564,0.8493060628195763,0.8581081081081081,0.33513513513513515
TEXT,(DISTILLBERT+Proj128) MLP-Classifier,(DISTILLBERT+Proj128) MLP-Classifier,AROUSAL,\texttt{arousal\_category},42,0.5,0.5555555555555556,0.3424657534246575,0.481718922167685,0.373134328358209,0.3624161073825503
TEXT,(DISTILLBERT+Proj128) MLP-Classifier,(DISTILLBERT+Proj128) MLP-Classifier,AROUSAL,\texttt{arousal\_category},43,0.5,0.625,0.37209302325581395,0.5391937833899951,0.3380281690140845,0.23448275862068965
TEXT,(DISTILLBERT+Proj128) MLP-Classifier,(DISTILLBERT+Proj128) MLP-Classifier,AROUSAL,\texttt{arousal\_category},111,0.5,0.546875,0.24347826086956523,0.4870185800418359,0.2222222222222222,0.29457364341085274
TEXT,(DISTILLBERT+Proj128) MLP-Classifier,(DISTILLBERT+Proj128) MLP-Classifier,VALENCE,\texttt{valence\_category},42,0.5,0.6805555555555556,0.7160493827160493,0.6954468502183017,0.6744186046511628,0.3103448275862069
TEXT,(DISTILLBERT+Proj128) MLP-Classifier,(DISTILLBERT+Proj128) MLP-Classifier,VALENCE,\texttt{valence\_category},43,0.5,0.6435185185185185,0.6804979253112033,0.7254130605822187,0.6666666666666666,0.3870967741935484
TEXT,(DISTILLBERT+Proj128) MLP-Classifier,(DISTILLBERT+Proj128) MLP-Classifier,VALENCE,\texttt{valence\_category},111,0.5,0.6197916666666666,0.6473429951690821,0.658869179600887,0.6090909090909091,0.36585365853658536
TEXT,(DISTILLBERT+Proj128) MLP-Classifier,(DISTILLBERT+Proj128) MLP-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},42,0.5,0.8333333333333334,0.8181818181818182,0.9231824417009602,0.75,0.08333333333333333
TEXT,(DISTILLBERT+Proj128) MLP-Classifier,(DISTILLBERT+Proj128) MLP-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},43,0.5,0.875,0.8695652173913043,0.931670096021948,0.8333333333333334,0.08333333333333333
TEXT,(DISTILLBERT+Proj128) MLP-Classifier,(DISTILLBERT+Proj128) MLP-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},111,0.5,0.875,0.8695652173913043,0.9478081597222222,0.8333333333333334,0.08333333333333333
TEXT,(DISTILLBERT+Proj128) VAE-Classifier,(DISTILLBERT+Proj128) VAE-Classifier,AROUSAL,\texttt{arousal\_category},42,0.5,0.5648148148148148,0.3815789473684211,0.5351096864669939,0.43283582089552236,0.37583892617449666
TEXT,(DISTILLBERT+Proj128) VAE-Classifier,(DISTILLBERT+Proj128) VAE-Classifier,AROUSAL,\texttt{arousal\_category},43,0.5,0.5740740740740741,0.352112676056338,0.5199611461874697,0.352112676056338,0.31724137931034485
TEXT,(DISTILLBERT+Proj128) VAE-Classifier,(DISTILLBERT+Proj128) VAE-Classifier,AROUSAL,\texttt{arousal\_category},111,0.5,0.5572916666666666,0.2857142857142857,0.4942783314876338,0.2698412698412698,0.3023255813953488
TEXT,(DISTILLBERT+Proj128) VAE-Classifier,(DISTILLBERT+Proj128) VAE-Classifier,VALENCE,\texttt{valence\_category},42,0.5,0.7083333333333334,0.7529411764705882,0.731488906709436,0.7441860465116279,0.3448275862068966
TEXT,(DISTILLBERT+Proj128) VAE-Classifier,(DISTILLBERT+Proj128) VAE-Classifier,VALENCE,\texttt{valence\_category},43,0.5,0.6851851851851852,0.7213114754098361,0.7169332983652418,0.7154471544715447,0.3548387096774194
TEXT,(DISTILLBERT+Proj128) VAE-Classifier,(DISTILLBERT+Proj128) VAE-Classifier,VALENCE,\texttt{valence\_category},111,0.5,0.65625,0.6857142857142857,0.7083148558758314,0.6545454545454545,0.34146341463414637
TEXT,(DISTILLBERT+Proj128) VAE-Classifier,(DISTILLBERT+Proj128) VAE-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},42,0.5,0.8287037037037037,0.821256038647343,0.8963477366255144,0.7870370370370371,0.12962962962962962
TEXT,(DISTILLBERT+Proj128) VAE-Classifier,(DISTILLBERT+Proj128) VAE-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},43,0.5,0.875,0.8708133971291866,0.9370713305898491,0.8425925925925926,0.09259259259259259
TEXT,(DISTILLBERT+Proj128) VAE-Classifier,(DISTILLBERT+Proj128) VAE-Classifier,STIMULUS-LABEL,\texttt{stimulus-label},111,0.5,0.828125,0.8070175438596491,0.9390190972222222,0.71875,0.0625
EDA+PPG,MoEVAE-Classifier,MoEVAE-Classifier,AROUSAL,\texttt{arousal\_category},42,0.5,0.5645645645645646,0.42231075697211157,0.5717375630857967,0.4649122807017544,0.3835616438356164
EDA+PPG,MoEVAE-Classifier,MoEVAE-Classifier,AROUSAL,\texttt{arousal\_category},43,0.5,0.5735735735735735,0.4701492537313433,0.5834735239926301,0.5526315789473685,0.4155251141552511
EDA+PPG,MoEVAE-Classifier,MoEVAE-Classifier,AROUSAL,\texttt{arousal\_category},111,0.5,0.5525525525525525,0.42023346303501946,0.5787470960506289,0.47368421052631576,0.4063926940639269
