The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=111 | pid=12 | Acc=0.5387 | F1=0.5492
Running Mean | Seed=111 | pid=14 | Acc=0.5401 | F1=0.5514
Running Mean | Seed=111 | pid=15 | Acc=0.5413 | F1=0.5563
Running Mean | Seed=111 | pid=16 | Acc=0.5503 | F1=0.5646
Running Mean | Seed=111 | pid=17 | Acc=0.5580 | F1=0.5711
Running Mean | Seed=111 | pid=18 | Acc=0.5625 | F1=0.5756
Running Mean | Seed=111 | pid=19 | Acc=0.5577 | F1=0.5717
Running Mean | Seed=111 | pid=20 | Acc=0.5556 | F1=0.5722
Running Mean | Seed=111 | pid=21 | Acc=0.5556 | F1=0.5707
Running Mean | Seed=111 | pid=22 | Acc=0.5537 | F1=0.5712
Running Mean | Seed=111 | pid=23 | Acc=0.5538 | F1=0.5725
Running Mean | Seed=111 | pid=24 | Acc=0.5572 | F1=0.5737
Running Mean | Seed=111 | pid=25 | Acc=0.5572 | F1=0.5738
Running Mean | Seed=111 | pid=26 | Acc=0.5556 | F1=0.5717
Running Mean | Seed=111 | pid=27 | Acc=0.5570 | F1=0.5728
Running Mean | Seed=111 | pid=28 | Acc=0.5584 | F1=0.5738
Running Mean | Seed=111 | pid=29 | Acc=0.5583 | F1=0.5747
Running Mean | Seed=111 | pid=31 | Acc=0.5622 | F1=0.5788
Running Mean | Seed=111 | pid=32 | Acc=0.5607 | F1=0.5769
Running Mean | Seed=111 | pid=33 | Acc=0.5630 | F1=0.5791
Running Mean | Seed=111 | pid=34 | Acc=0.5591 | F1=0.5750
Running Mean | Seed=111 | pid=35 | Acc=0.5590 | F1=0.5750
Running Mean | Seed=111 | pid=36 | Acc=0.5567 | F1=0.5740
Running Mean | Seed=111 | pid=37 | Acc=0.5599 | F1=0.5771
Running Mean | Seed=111 | pid=38 | Acc=0.5619 | F1=0.5790
Running Mean | Seed=111 | pid=39 | Acc=0.5597 | F1=0.5771
Running Mean | Seed=111 | pid=40 | Acc=0.5606 | F1=0.5768
Seed-wise mean results:
         seed              acc               f1
0          42         0.558559         0.558612
1          43         0.552553         0.569972
2         111         0.570571         0.601792
3  Mean ± Std  0.5606 ± 0.0092  0.5768 ± 0.0224
Saved LOSO predictions to: output/MLP-PPG-VALENCE-SIMPLE-predictions.npz
