The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=111 | pid=12 | Acc=0.8279 | F1=0.8109
Running Mean | Seed=111 | pid=14 | Acc=0.8302 | F1=0.8128
Running Mean | Seed=111 | pid=15 | Acc=0.8321 | F1=0.8144
Running Mean | Seed=111 | pid=16 | Acc=0.8310 | F1=0.8132
Running Mean | Seed=111 | pid=17 | Acc=0.8326 | F1=0.8153
Running Mean | Seed=111 | pid=18 | Acc=0.8340 | F1=0.8165
Running Mean | Seed=111 | pid=19 | Acc=0.8352 | F1=0.8181
Running Mean | Seed=111 | pid=20 | Acc=0.8322 | F1=0.8154
Running Mean | Seed=111 | pid=21 | Acc=0.8295 | F1=0.8114
Running Mean | Seed=111 | pid=22 | Acc=0.8308 | F1=0.8125
Running Mean | Seed=111 | pid=23 | Acc=0.8302 | F1=0.8126
Running Mean | Seed=111 | pid=24 | Acc=0.8313 | F1=0.8140
Running Mean | Seed=111 | pid=25 | Acc=0.8323 | F1=0.8149
Running Mean | Seed=111 | pid=26 | Acc=0.8317 | F1=0.8149
Running Mean | Seed=111 | pid=27 | Acc=0.8312 | F1=0.8142
Running Mean | Seed=111 | pid=28 | Acc=0.8306 | F1=0.8136
Running Mean | Seed=111 | pid=29 | Acc=0.8315 | F1=0.8147
Running Mean | Seed=111 | pid=31 | Acc=0.8324 | F1=0.8158
Running Mean | Seed=111 | pid=32 | Acc=0.8331 | F1=0.8164
Running Mean | Seed=111 | pid=33 | Acc=0.8351 | F1=0.8185
Running Mean | Seed=111 | pid=34 | Acc=0.8357 | F1=0.8190
Running Mean | Seed=111 | pid=35 | Acc=0.8363 | F1=0.8198
Running Mean | Seed=111 | pid=36 | Acc=0.8369 | F1=0.8202
Running Mean | Seed=111 | pid=37 | Acc=0.8374 | F1=0.8209
Running Mean | Seed=111 | pid=38 | Acc=0.8379 | F1=0.8213
Running Mean | Seed=111 | pid=39 | Acc=0.8374 | F1=0.8211
Running Mean | Seed=111 | pid=40 | Acc=0.8368 | F1=0.8205
Seed-wise mean results:
         seed              acc               f1
0          42         0.846847         0.829944
1          43         0.828829         0.813921
2         111         0.834835         0.817632
3  Mean ± Std  0.8368 ± 0.0092  0.8205 ± 0.0084
Saved LOSO predictions to: output/VAE-EDA-STIMULUS-LABEL-SIMPLE-predictions.npz
