The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=111 | pid=12 | Acc=0.5111 | F1=0.3238
Running Mean | Seed=111 | pid=14 | Acc=0.5060 | F1=0.3224
Running Mean | Seed=111 | pid=15 | Acc=0.5103 | F1=0.3326
Running Mean | Seed=111 | pid=16 | Acc=0.5166 | F1=0.3255
Running Mean | Seed=111 | pid=17 | Acc=0.5196 | F1=0.3351
Running Mean | Seed=111 | pid=18 | Acc=0.5222 | F1=0.3357
Running Mean | Seed=111 | pid=19 | Acc=0.5267 | F1=0.3408
Running Mean | Seed=111 | pid=20 | Acc=0.5348 | F1=0.3348
Running Mean | Seed=111 | pid=21 | Acc=0.5401 | F1=0.3411
Running Mean | Seed=111 | pid=22 | Acc=0.5393 | F1=0.3405
Running Mean | Seed=111 | pid=23 | Acc=0.5404 | F1=0.3406
Running Mean | Seed=111 | pid=24 | Acc=0.5397 | F1=0.3425
Running Mean | Seed=111 | pid=25 | Acc=0.5406 | F1=0.3377
Running Mean | Seed=111 | pid=26 | Acc=0.5400 | F1=0.3395
Running Mean | Seed=111 | pid=27 | Acc=0.5423 | F1=0.3428
Running Mean | Seed=111 | pid=28 | Acc=0.5487 | F1=0.3386
Running Mean | Seed=111 | pid=29 | Acc=0.5478 | F1=0.3347
Running Mean | Seed=111 | pid=31 | Acc=0.5497 | F1=0.3406
Running Mean | Seed=111 | pid=32 | Acc=0.5539 | F1=0.3369
Running Mean | Seed=111 | pid=33 | Acc=0.5517 | F1=0.3334
Running Mean | Seed=111 | pid=34 | Acc=0.5568 | F1=0.3301
Running Mean | Seed=111 | pid=35 | Acc=0.5581 | F1=0.3313
Running Mean | Seed=111 | pid=36 | Acc=0.5582 | F1=0.3316
Running Mean | Seed=111 | pid=37 | Acc=0.5572 | F1=0.3348
Running Mean | Seed=111 | pid=38 | Acc=0.5584 | F1=0.3357
Running Mean | Seed=111 | pid=39 | Acc=0.5574 | F1=0.3378
Running Mean | Seed=111 | pid=40 | Acc=0.5576 | F1=0.3380
Seed-wise mean results:
         seed              acc               f1
0          42         0.567568         0.338612
1          43         0.561562         0.359513
2         111         0.543544         0.315892
3  Mean ± Std  0.5576 ± 0.0125  0.3380 ± 0.0218
Saved LOSO predictions to: output/MLP-EDA-AROUSAL-SIMPLE-predictions.npz
