The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=111 | pid=12 | Acc=0.5528 | F1=0.5383
Running Mean | Seed=111 | pid=14 | Acc=0.5503 | F1=0.5369
Running Mean | Seed=111 | pid=15 | Acc=0.5453 | F1=0.5372
Running Mean | Seed=111 | pid=16 | Acc=0.5543 | F1=0.5467
Running Mean | Seed=111 | pid=17 | Acc=0.5596 | F1=0.5519
Running Mean | Seed=111 | pid=18 | Acc=0.5665 | F1=0.5597
Running Mean | Seed=111 | pid=19 | Acc=0.5639 | F1=0.5594
Running Mean | Seed=111 | pid=20 | Acc=0.5637 | F1=0.5624
Running Mean | Seed=111 | pid=21 | Acc=0.5615 | F1=0.5602
Running Mean | Seed=111 | pid=22 | Acc=0.5633 | F1=0.5620
Running Mean | Seed=111 | pid=23 | Acc=0.5666 | F1=0.5667
Running Mean | Seed=111 | pid=24 | Acc=0.5680 | F1=0.5640
Running Mean | Seed=111 | pid=25 | Acc=0.5708 | F1=0.5654
Running Mean | Seed=111 | pid=26 | Acc=0.5704 | F1=0.5643
Running Mean | Seed=111 | pid=27 | Acc=0.5684 | F1=0.5605
Running Mean | Seed=111 | pid=28 | Acc=0.5710 | F1=0.5630
Running Mean | Seed=111 | pid=29 | Acc=0.5705 | F1=0.5642
Running Mean | Seed=111 | pid=31 | Acc=0.5688 | F1=0.5647
Running Mean | Seed=111 | pid=32 | Acc=0.5672 | F1=0.5633
Running Mean | Seed=111 | pid=33 | Acc=0.5682 | F1=0.5643
Running Mean | Seed=111 | pid=34 | Acc=0.5631 | F1=0.5604
Running Mean | Seed=111 | pid=35 | Acc=0.5642 | F1=0.5615
Running Mean | Seed=111 | pid=36 | Acc=0.5640 | F1=0.5618
Running Mean | Seed=111 | pid=37 | Acc=0.5661 | F1=0.5642
Running Mean | Seed=111 | pid=38 | Acc=0.5659 | F1=0.5635
Running Mean | Seed=111 | pid=39 | Acc=0.5657 | F1=0.5644
Running Mean | Seed=111 | pid=40 | Acc=0.5666 | F1=0.5644
Seed-wise mean results:
         seed              acc               f1
0          42         0.546547         0.552282
1          43         0.576577         0.569375
2         111         0.576577          0.57152
3  Mean ± Std  0.5666 ± 0.0173  0.5644 ± 0.0105
Saved LOSO predictions to: output/VAE-PPG-VALENCE-SIMPLE-predictions.npz
