The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=111 | pid=12 | Acc=0.7506 | F1=0.7537
Running Mean | Seed=111 | pid=14 | Acc=0.7553 | F1=0.7571
Running Mean | Seed=111 | pid=15 | Acc=0.7622 | F1=0.7637
Running Mean | Seed=111 | pid=16 | Acc=0.7628 | F1=0.7634
Running Mean | Seed=111 | pid=17 | Acc=0.7683 | F1=0.7687
Running Mean | Seed=111 | pid=18 | Acc=0.7708 | F1=0.7710
Running Mean | Seed=111 | pid=19 | Acc=0.7729 | F1=0.7731
Running Mean | Seed=111 | pid=20 | Acc=0.7687 | F1=0.7708
Running Mean | Seed=111 | pid=21 | Acc=0.7708 | F1=0.7726
Running Mean | Seed=111 | pid=22 | Acc=0.7708 | F1=0.7720
Running Mean | Seed=111 | pid=23 | Acc=0.7725 | F1=0.7736
Running Mean | Seed=111 | pid=24 | Acc=0.7691 | F1=0.7691
Running Mean | Seed=111 | pid=25 | Acc=0.7659 | F1=0.7627
Running Mean | Seed=111 | pid=26 | Acc=0.7661 | F1=0.7625
Running Mean | Seed=111 | pid=27 | Acc=0.7663 | F1=0.7624
Running Mean | Seed=111 | pid=28 | Acc=0.7665 | F1=0.7623
Running Mean | Seed=111 | pid=29 | Acc=0.7667 | F1=0.7622
Running Mean | Seed=111 | pid=31 | Acc=0.7694 | F1=0.7651
Running Mean | Seed=111 | pid=32 | Acc=0.7695 | F1=0.7649
Running Mean | Seed=111 | pid=33 | Acc=0.7695 | F1=0.7653
Running Mean | Seed=111 | pid=34 | Acc=0.7684 | F1=0.7642
Running Mean | Seed=111 | pid=35 | Acc=0.7673 | F1=0.7638
Running Mean | Seed=111 | pid=36 | Acc=0.7663 | F1=0.7634
Running Mean | Seed=111 | pid=37 | Acc=0.7642 | F1=0.7625
Running Mean | Seed=111 | pid=38 | Acc=0.7644 | F1=0.7624
Running Mean | Seed=111 | pid=39 | Acc=0.7636 | F1=0.7621
Running Mean | Seed=111 | pid=40 | Acc=0.7618 | F1=0.7613
Seed-wise mean results:
         seed              acc               f1
0          42         0.771772         0.763738
1          43         0.762763         0.764596
2         111         0.750751          0.75553
3  Mean ± Std  0.7618 ± 0.0105  0.7613 ± 0.0050
Saved LOSO predictions to: output/VAE-PPG-STIMULUS-LABEL-SIMPLE-predictions.npz
