The Number of entries of High Arousal: 114 & Low Arousal: 219
The Number of entries of High Valence: 202 & Low Valence: 131
The Number of entries of Positive Task: 148 & Negative Task: 185
Running Mean | Seed=111 | pid=12 | Acc=0.5189 | F1=0.5205
Running Mean | Seed=111 | pid=14 | Acc=0.5309 | F1=0.5332
Running Mean | Seed=111 | pid=15 | Acc=0.5269 | F1=0.5328
Running Mean | Seed=111 | pid=16 | Acc=0.5287 | F1=0.5376
Running Mean | Seed=111 | pid=17 | Acc=0.5279 | F1=0.5380
Running Mean | Seed=111 | pid=18 | Acc=0.5340 | F1=0.5444
Running Mean | Seed=111 | pid=19 | Acc=0.5351 | F1=0.5467
Running Mean | Seed=111 | pid=20 | Acc=0.5402 | F1=0.5526
Running Mean | Seed=111 | pid=21 | Acc=0.5409 | F1=0.5484
Running Mean | Seed=111 | pid=22 | Acc=0.5433 | F1=0.5486
Running Mean | Seed=111 | pid=23 | Acc=0.5402 | F1=0.5477
Running Mean | Seed=111 | pid=24 | Acc=0.5425 | F1=0.5493
Running Mean | Seed=111 | pid=25 | Acc=0.5413 | F1=0.5453
Running Mean | Seed=111 | pid=26 | Acc=0.5418 | F1=0.5446
Running Mean | Seed=111 | pid=27 | Acc=0.5437 | F1=0.5449
Running Mean | Seed=111 | pid=28 | Acc=0.5440 | F1=0.5455
Running Mean | Seed=111 | pid=29 | Acc=0.5457 | F1=0.5486
Running Mean | Seed=111 | pid=31 | Acc=0.5486 | F1=0.5523
Running Mean | Seed=111 | pid=32 | Acc=0.5487 | F1=0.5527
Running Mean | Seed=111 | pid=33 | Acc=0.5488 | F1=0.5500
Running Mean | Seed=111 | pid=34 | Acc=0.5502 | F1=0.5518
Running Mean | Seed=111 | pid=35 | Acc=0.5491 | F1=0.5488
Running Mean | Seed=111 | pid=36 | Acc=0.5503 | F1=0.5489
Running Mean | Seed=111 | pid=37 | Acc=0.5504 | F1=0.5483
Running Mean | Seed=111 | pid=38 | Acc=0.5504 | F1=0.5487
Running Mean | Seed=111 | pid=39 | Acc=0.5505 | F1=0.5497
Running Mean | Seed=111 | pid=40 | Acc=0.5485 | F1=0.5482
Seed-wise mean results:
         seed              acc               f1
0          42         0.558559         0.544595
1          43         0.543544         0.540622
2         111         0.543544         0.559342
3  Mean ± Std  0.5485 ± 0.0087  0.5482 ± 0.0099
Saved LOSO predictions to: output/VAE-EDA-VALENCE-SIMPLE-predictions.npz
